sample_index,dice_score,iou_score,uncertainty,precision,recall,f1_score,specificity
0,1.0,3.8146963561302982e-06,0.00026042922,0.0,0.0,0.0,0.9999999999961853
1,1.0,3.8146963561302982e-06,0.00019849249,0.0,0.0,0.0,0.9999999999961853
2,1.0,3.8146963561302982e-06,0.00022007005,0.0,0.0,0.0,0.9999999999961853
3,0.9809390902519226,0.962581217288971,0.28439352,0.9900973481033905,0.971948758083783,0.9809391174208568,0.9990078489197787
4,0.9797323942184448,0.9602605104446411,0.2903835,0.9845150448143406,0.974996037406879,0.9797324201640519,0.998366454484448
5,0.974382221698761,0.9500352144241333,0.2979381,0.9728945185855388,0.9758744564189828,0.9743822091332993,0.996949499145109
6,0.9744069576263428,0.9500826597213745,0.30520976,0.9666012488849242,0.982339715694807,0.9744069351270661,0.9960096858864124
7,0.9797165393829346,0.9602312445640564,0.31068456,0.9761609907120743,0.9832981045774282,0.9797165495693003,0.9970293846539767
8,0.9670528173446655,0.9361997842788696,0.3138175,0.9903881700554529,0.9447917668558238,0.9670528008400879,0.9987616527994927
9,0.9819632768630981,0.9645580053329468,0.32097036,0.9933997629041044,0.9707871501033252,0.9819632931637873,0.9991051492967207
10,0.987804114818573,0.9758946299552917,0.32576573,0.9959323086477255,0.9798075454406598,0.9878041268863567,0.9994289674729437
11,0.9889081120491028,0.9780521988868713,0.329669,0.9931080345807388,0.9847435782153883,0.9889081194973286,0.9990034137406558
12,0.9859121441841125,0.972208559513092,0.3324407,0.9896426875593543,0.9822096550911608,0.9859121616627493,0.9984705928709536
13,1.0,3.8146963561302982e-06,0.00019454901,0.0,0.0,0.0,0.9999999999961853
14,0.9907575845718384,0.9816772937774658,0.33509,0.9920137573231513,0.9895045935573904,0.9907575867840769,0.9987969158851063
15,0.99215167760849,0.984418511390686,0.33774602,0.9915268792580294,0.9927773000859845,0.9921516956920257,0.9986974926690017
16,0.9933104515075684,0.9867027997970581,0.3404369,0.995222571942446,0.9914056157442401,0.993310427038777,0.9992491928779353
17,0.9913081526756287,0.9827593564987183,0.34318766,0.9924428386242656,0.9901761144744083,0.9913081807788201,0.9987865582496378
18,0.9877699613571167,0.9758288860321045,0.3459893,0.9896402488504192,0.9859067636755592,0.9877699784017279,0.9982980349591692
19,0.991159200668335,0.9824666976928711,0.34847915,0.9881943151905129,0.9941418788786647,0.9911591748563199,0.9980245595257251
20,0.9941765666007996,0.98841392993927,0.3502133,0.9928945498565752,0.9954618611646131,0.9941765480895915,0.9987959490329741
21,0.9949290752410889,0.9899027347564697,0.35001537,0.9951781197301856,0.9946801506412789,0.9949290728764669,0.9991836661819256
22,0.9934619665145874,0.9870023131370544,0.34987906,0.9943795023352772,0.9925461585060711,0.9934619846040282,0.9990498579203082
23,0.9918343424797058,0.9837945103645325,0.34982884,0.9937189908160033,0.9899568829529919,0.991834369402592,0.9989380120254567
24,1.0,3.8146963561302982e-06,0.0001966102,0.0,0.0,0.0,0.9999999999961853
25,0.9920675754547119,0.984253466129303,0.34976184,0.98943392239216,0.9947153176120671,0.9920675910108193,0.9982181675590757
26,0.993781566619873,0.9876334071159363,0.3494947,0.9920584498094028,0.9955106919909683,0.9937815727715092,0.9986636911478507
27,0.9950127601623535,0.9900683164596558,0.34924844,0.994116087993639,0.9959109978227391,0.9950127334465195,0.9990110565613323
28,0.9932303428649902,0.9865450859069824,0.348833,0.9943654485049834,0.9920977963989287,0.9932303281299777,0.9990553973747218
29,0.9924031496047974,0.9849143028259277,0.34835672,0.9937649880095923,0.9910450934020674,0.9924031770951133,0.9989577348058716
30,0.9911236763000488,0.9823969006538391,0.34789914,0.9887805529584613,0.9934779107842611,0.9911236662070073,0.9981323870716802
31,0.9930558204650879,0.986200749874115,0.3474271,0.990966116234184,0.9951543866261071,0.9930558353816604,0.9985022022471477
32,0.9945257902145386,0.9891045093536377,0.3470369,0.9938440860215054,0.995208484750599,0.9945258174286137,0.9989821995999956
33,0.9927324056625366,0.9855630397796631,0.3464191,0.9934691674537849,0.9919967663702506,0.9927324209532798,0.9989246069438443
34,0.9889991283416748,0.9782310128211975,0.34566683,0.9938958220293,0.984150436534587,0.9889991226294121,0.9989996398659117
35,1.0,3.8146963561302982e-06,0.00021548117,0.0,0.0,0.0,0.9999999999961853
36,0.987991452217102,0.9762611389160156,0.3442521,0.9861529199277543,0.9898368400813052,0.9879914459615068,0.9977584633468988
37,0.9892621040344238,0.9787455797195435,0.34324127,0.9905831818932761,0.9879445283537004,0.9892620956099707,0.9984849088907563
38,0.9927912950515747,0.9856789708137512,0.34313205,0.993967274530329,0.9916181158623723,0.9927913055440913,0.9990299261104952
39,0.9906603693962097,0.9814867973327637,0.34231132,0.9950669290247485,0.9862927150862543,0.9906603942775946,0.9992114822317745
40,0.985534131526947,0.9714741110801697,0.34118405,0.9946908095118339,0.9765444968725996,0.985534129763701,0.9991581447237865
41,0.9884986281394958,0.9772519469261169,0.34038496,0.9884570016289389,0.988540291548465,0.9884986448342203,0.9981857588648492
42,0.9898398518562317,0.9798771739006042,0.33990058,0.9912347453566698,0.9884488912621905,0.9898398581520362,0.9986273133697972
43,0.9927175641059875,0.9855334758758545,0.33943462,0.9956768670000847,0.9897758552890287,0.9927175918752553,0.9993246285412889
44,0.9891049265861511,0.9784377217292786,0.33812028,0.9963227958153986,0.9819908408956818,0.9891049042080539,0.9994305917828682
45,0.985359251499176,0.9711341261863708,0.33745003,0.9964808880750744,0.9744830866511849,0.9853592293437823,0.9994567209754311
46,1.0,3.8146963561302982e-06,0.00023774068,0.0,0.0,0.0,0.9999999999961853
47,0.9846233129501343,0.9697054028511047,0.337005,0.9846092000229714,0.9846374730796842,0.9846233363483654,0.9976420800681085
48,0.9884172081947327,0.9770926237106323,0.33671013,0.9889003910743042,0.9879345015800057,0.9884172103584055,0.9983020577608351
49,0.9907089471817017,0.9815818667411804,0.3365134,0.991748605600598,0.9896714961985368,0.9907089621896406,0.9987372904056124
50,0.9891063570976257,0.9784404635429382,0.3363329,0.9912717845311825,0.986950411563943,0.9891063780862867,0.9986668250592947
51,0.9834816455841064,0.9674931764602661,0.33653417,0.9856780589015043,0.9812950053073988,0.9834816486723501,0.997813337318026
52,0.9818187355995178,0.9642797708511353,0.3367958,0.977766272614836,0.9859048723897912,0.9818187069475934,0.9966046454380288
53,0.9826940894126892,0.9659700393676758,0.3372687,0.9789168722391142,0.9865005492281899,0.9826940797051371,0.9967699406679992
54,0.9850780367851257,0.9705879092216492,0.33746177,0.9802961308245267,0.9899068772051594,0.9850780631700122,0.996976701260307
55,0.985500156879425,0.9714078307151794,0.33771378,0.9797137061058887,0.9913553833699549,0.9855001652607527,0.9968798889020861
56,0.9823346138000488,0.9652755856513977,0.3371077,0.9777669680668422,0.9869450943014759,0.9823345934369205,0.9965849306174085
57,1.0,3.8146963561302982e-06,0.00029593406,0.0,0.0,0.0,0.9999999999961853
58,0.9762369394302368,0.9535701274871826,0.3358631,0.965607627387159,0.9871028532728718,0.9762369317685431,0.9947673577742655
59,0.9792612195014954,0.9593582153320312,0.3350417,0.9724629699411577,0.9861552028218695,0.9792612268130008,0.9958355981790787
60,0.978566586971283,0.9580256938934326,0.33446366,0.9704178191876547,0.9868534036064311,0.9785666050089551,0.9955510988654621
61,0.9820383787155151,0.9647035598754883,0.33393204,0.9766408419821664,0.9874959354400071,0.9820383925684216,0.9965004489367912
62,0.9803580641746521,0.9614658951759338,0.33326417,0.9786001940092302,0.9821223117090008,0.9803580894045586,0.9968104728605554
63,0.982488751411438,0.9655730724334717,0.33324733,0.981042654028436,0.9839390629151782,0.9824887237994163,0.9971788165880451
64,0.9806509017944336,0.962029218673706,0.33358085,0.9757687902017799,0.9855820576717693,0.9806508744742085,0.9963884851731059
65,0.9848194718360901,0.9700857400894165,0.33361238,0.9804842259721204,0.9891931902294596,0.98481945467944,0.9970880460964618
66,0.9880669116973877,0.9764080047607422,0.3335409,0.9867038450249487,0.9894337179185307,0.988066895923346,0.9980146208013481
67,0.9856581687927246,0.9717147350311279,0.33398998,0.9828907346747777,0.9884411764705883,0.9856581417175035,0.997435829997732
68,1.0,3.8146963561302982e-06,0.00021860936,0.0,0.0,0.0,0.9999999999961853
69,0.9814260005950928,0.9635223746299744,0.33428994,0.9808096740273397,0.9820431082385284,0.981426003594967,0.9971178016284328
70,0.9811531901359558,0.9629966020584106,0.33409733,0.9738774316220564,0.9885385117881109,0.9811532057232955,0.996091322117969
71,0.9842793941497803,0.9690383076667786,0.33452997,0.9821804159850432,0.9863873731150619,0.9842793992798384,0.997325241820075
72,0.9889965653419495,0.9782254099845886,0.33479825,0.9860714493851623,0.9919390297523084,0.9889965367585813,0.9979037753926128
73,0.9866335988044739,0.9736126661300659,0.33518067,0.9830759835994067,0.9902170410942854,0.9866335911279731,0.9974474020034936
74,0.9835088849067688,0.9675458669662476,0.33519801,0.9846391062752742,0.982381284105422,0.9835088993824919,0.9976810779430209
75,0.9824138879776001,0.9654285907745361,0.3349696,0.974347028506537,0.9906154711507149,0.9824139044655178,0.996142140866612
76,0.9869168996810913,0.974164605140686,0.33456197,0.9852606386083708,0.9885787916947316,0.98691692613545,0.9977850585709558
77,0.9906235933303833,0.9814141392707825,0.33441725,0.9889021932770655,0.9923509759099701,0.9906235829322879,0.9983334941321524
78,0.9862176179885864,0.9728028178215027,0.33444762,0.9854390222508114,0.9869973936216945,0.9862175923216481,0.9978157607293174
79,1.0,3.8146963561302982e-06,0.00020643284,0.0,0.0,0.0,0.9999999999961853
80,0.9838685989379883,0.968242347240448,0.33418387,0.9889749003049496,0.9788147890185153,0.9838686152679327,0.998348602896101
81,0.9833642244338989,0.9672656655311584,0.333575,0.976837953970216,0.9899782265040117,0.9833641952447967,0.9965575613318495
82,0.9878644347190857,0.976012647151947,0.33313093,0.9856763142350856,0.9900622960545832,0.9878644368802723,0.9978768484507653
83,0.9929576516151428,0.9860063791275024,0.3324332,0.9935321168966029,0.9923838311996207,0.992957642070305,0.9990455341462389
84,0.9870345592498779,0.9743937849998474,0.33198547,0.9893828996282528,0.9846973508953678,0.9870345646046581,0.9984366720777441
85,0.9806480407714844,0.9620237350463867,0.33246553,0.9822174802169468,0.9790835770628379,0.9806480248557479,0.9973718215423142
86,0.9838801026344299,0.9682644605636597,0.33246127,0.9775593581621174,0.9902831094049904,0.9838800989243467,0.9966870629327067
87,0.989576518535614,0.9793606996536255,0.33173662,0.9883956804486606,0.9907601220022726,0.9895764888596859,0.9982990966366787
88,0.9925679564476013,0.9852381348609924,0.33094594,0.9932823511770881,0.9918545803012607,0.9925679522910485,0.999020769303745
89,0.9866730570793152,0.9736893773078918,0.33045274,0.9886613131221992,0.9846928077165024,0.9866730699963981,0.9983519918124227
90,1.0,3.8146963561302982e-06,0.0001982433,0.0,0.0,0.0,0.9999999999961853
91,0.9797242879867554,0.960247278213501,0.330808,0.9821032435997362,0.9773568019093078,0.9797242740512575,0.997388725588751
92,0.9818602800369263,0.9643597602844238,0.33082443,0.9779182646212847,0.985834239458741,0.9818602972143674,0.996782165244779
93,0.984796404838562,0.9700407981872559,0.32987002,0.9844400217115976,0.9851529965598407,0.9847963800904977,0.9977467839227018
94,0.9825077652931213,0.9656096696853638,0.32848743,0.9874664552329837,0.9775986474655074,0.9825077751649852,0.9982054047401845
95,0.9813790917396545,0.963431715965271,0.32812688,0.9876192223037418,0.9752173388070514,0.9813791008505468,0.9982315646024809
96,0.9782076478004456,0.9573376178741455,0.32763395,0.9864131268210398,0.9701375482625483,0.9782076432927292,0.9980654345959769
97,0.9811251163482666,0.9629422426223755,0.3285603,0.9766959492435334,0.9855946811130264,0.9811251378845447,0.9966732852570946
98,0.9880797266960144,0.976432740688324,0.32860735,0.982997557997558,0.9932146932732937,0.9880797140358683,0.9975753196225091
99,0.9896262884140015,0.9794580340385437,0.32814103,0.9848967587770358,0.9944014846891432,0.9896263005602414,0.9978547869102933
100,0.9849280118942261,0.9702961444854736,0.32764316,0.9825833205344802,0.9872839506172839,0.9849280270956816,0.9975320356527372
101,1.0,3.8146963561302982e-06,0.00018322632,0.0,0.0,0.0,0.9999999999961853
102,0.9832629561424255,0.9670693874359131,0.32609233,0.9830492688833007,0.9834767214336739,0.9832629487020246,0.9976255397939628
103,0.985535204410553,0.9714751243591309,0.32385334,0.9832812845020662,0.9877994676131322,0.9855351976856316,0.9977015282625388
104,0.9889296293258667,0.9780938029289246,0.32221165,0.988835013397984,0.9890243124242231,0.988929653852289,0.9984835486650961
105,0.9873223304748535,0.9749541878700256,0.32166055,0.9859335038363172,0.9887150551423441,0.987322320399539,0.9980948422139747
106,0.984563410282135,0.9695883989334106,0.32118413,0.9910522433533241,0.9781590276019245,0.9845634269510777,0.9987898608513532
107,0.9814184904098511,0.9635071754455566,0.32056677,0.9864202309528417,0.9764672073567916,0.981418485237484,0.998176115337968
108,0.9839962124824524,0.9684886336326599,0.3191228,0.9825346043353356,0.9854621656134377,0.983996207477155,0.9976900126466509
109,0.9868497252464294,0.9740326404571533,0.3172419,0.9887911651897897,0.9849158515298225,0.9868497038295907,0.998537412466947
110,0.9894862174987793,0.97918301820755,0.316793,0.99239455330455,0.9865949087067059,0.9894862327599053,0.9990123222460439
111,0.9855991005897522,0.9715989232063293,0.3159601,0.9917198090214017,0.9795534742604624,0.9855990974549557,0.9989302090794236
112,1.0,3.8146963561302982e-06,0.00018969849,0.0,0.0,0.0,0.9999999999961853
113,1.0,3.8146963561302982e-06,0.00017547516,0.0,0.0,0.0,0.9999999999961853
114,0.9873227477073669,0.9749546051025391,0.31562346,0.9874548374146929,0.987190635451505,0.9873227187583623,0.998385318884456
115,0.9855827689170837,0.9715672135353088,0.3152926,0.9897661309264169,0.9814346553100879,0.9855827862142702,0.9986858432965139
116,0.9878334999084473,0.9759511351585388,0.3142369,0.9900889625545445,0.9855882551013536,0.9878334823914547,0.9987394921788341
117,0.9888553619384766,0.9779480695724487,0.31345338,0.9921827204132961,0.9855503038487509,0.9888553910775381,0.9990108547891873
118,0.9861862063407898,0.9727405309677124,0.31299043,0.99293491245435,0.9795286195286196,0.9861862065458736,0.9991094629201049
119,0.9813913702964783,0.9634544849395752,0.31250393,0.9892325629243536,0.9736735520453625,0.9813913930940636,0.9986495552951252
120,0.9844940304756165,0.9694531559944153,0.31269863,0.9856048690419202,0.9833856441048034,0.9844940059428259,0.9981918292975269
121,0.9909731149673462,0.982099175453186,0.3129384,0.9917870097871466,0.9901605739665186,0.9909731245298502,0.9989693997569545
122,0.9942890405654907,0.9886342883110046,0.3122137,0.9981406239239722,0.9904670789626542,0.9942890462878801,0.9997681179292083
123,0.99065101146698,0.98146653175354,0.31130797,0.9981264962009506,0.9832866224622325,0.9906509874141285,0.9997681268904108
124,1.0,3.8146963561302982e-06,0.00017765196,0.0,0.0,0.0,0.9999999999961853
125,0.9877743721008301,0.975835382938385,0.31008032,0.9958331874365349,0.9798449612403101,0.9877743817727146,0.9994895310935639
126,0.9906601309776306,0.9814842343330383,0.30885822,0.9941047726630895,0.987239263803681,0.9906601234763337,0.9992851608773289
127,0.9923006892204285,0.9847100377082825,0.30764106,0.9939797663151895,0.9906273298540845,0.9923007165845765,0.9992777067788745
128,0.9948965907096863,0.9898358583450317,0.30639485,0.9983827493261456,0.9914346895074947,0.9948965887724953,0.999807794156089
129,0.9922304749488831,0.9845715761184692,0.30515814,0.9985486738507311,0.9859916881627974,0.9922304544553207,0.9998292291360709
130,0.9911165237426758,0.9823802709579468,0.3036595,0.9967712346358466,0.9855256475368207,0.9911165429306288,0.999624858251841
131,0.9909460544586182,0.9820452332496643,0.30228618,0.9935897435897436,0.9883163791832522,0.9909460458240946,0.999263867372733
132,0.9929213523864746,0.9859327077865601,0.30078873,0.9939637072585483,0.9918811733014068,0.9929213483146068,0.9993161042537494
133,0.9943129420280457,0.9886805415153503,0.29924357,0.9978006143111752,0.9908495255309535,0.9943129215712208,0.9997538074901957
134,0.9870985150337219,0.9745161533355713,0.2973901,0.9981143692757639,0.9763231197771588,0.987098492921297,0.9997920009466088
135,1.0,3.8146963561302982e-06,0.00016375791,0.0,0.0,0.0,0.9999999999961853
136,0.9840773940086365,0.968644380569458,0.29537463,0.9972650908380543,0.9712339713100719,0.9840774153751253,0.9997032175415401
137,0.990261971950531,0.9807018041610718,0.29324347,0.9905959844456789,0.9899282287164439,0.9902619940104321,0.9989996834399113
138,0.9933216571807861,0.9867215752601624,0.2908812,0.9954304662541955,0.9912217121688008,0.9933216310554244,0.9995238295857759
139,0.9938494563102722,0.9877635836601257,0.2884077,0.9982290679955521,0.9895080628699735,0.9938494341479416,0.9998190608797015
140,0.9902083277702332,0.9805960655212402,0.28601024,0.9968540268456376,0.9836506622516556,0.9902083333333334,0.9996848527590103
141,0.9879292845726013,0.9761358499526978,0.2834853,0.9937155316147236,0.9822100147897739,0.9879292757565454,0.9993835935197674
